product_id,product_no,product_owner,keyword,rank_product_position,rank_top1_product_position,rank_top1_product_id,is_ydt_product,is_window_product,is_p4p_keyword,is_selection_prodcut,keyword_company_count,keyword_window_products_count,keyword_pv_rank
60383508403,JDHB15052,Amy Wei,quilted tote bag,1.14,1.14,60383508403,FALSE,FALSE,,FALSE,,,
60376143911,JDHB15024,Amy Wei,ladies handbag manufacturers,,5.27,60367995587,FALSE,FALSE,FALSE,FALSE,374,11,390
60376143911,JDHB15024,Amy Wei,handbag manufacturers china,1.22,1.22,60376143911,FALSE,FALSE,TRUE,FALSE,362,19,570
60387817483,JDHB15075,Amy Wei,messenger bag,,5.23,60407785221,FALSE,FALSE,FALSE,FALSE,1375,130,1700
60387817483,JDHB15075,Amy Wei,messenger bag leather,,1.19,60484559029,FALSE,FALSE,FALSE,FALSE,201,3,100
60387817483,JDHB15075,Amy Wei,shoulder messenger bag,,8.27,60407785221,FALSE,FALSE,FALSE,FALSE,575,11,39
60388098992,JDHB15085,Amy Wei,lady tote bag,,1.17,60392063153,FALSE,FALSE,,FALSE,,,
60388098992,JDHB15085,Amy Wei,korean tote bag,1.14,1.14,60388098992,FALSE,FALSE,FALSE,FALSE,588,15,24
60388098992,JDHB15085,Amy Wei,long strap tote bag,1.15,1.15,60388098992,FALSE,FALSE,FALSE,FALSE,216,1,23
60371517965,JDHB15006,Amy Wei,ladies' handbag at low price,1.15,1.15,60371517965,FALSE,FALSE,FALSE,FALSE,300,2,420
60371517965,JDHB15006,Amy Wei,korea fashion ladies handbag,1.12,1.12,60371517965,FALSE,FALSE,FALSE,FALSE,469,12,70
60371517965,JDHB15006,Amy Wei,korea ladies handbag,1.14,1.14,60371517965,FALSE,FALSE,,FALSE,,,
60392374620,JDAS15007,Amy Wei,file pocket,2.33,2.33,60392374620,FALSE,FALSE,FALSE,FALSE,122,5,70
60392374620,JDAS15007,Amy Wei,document pocket,9.36,9.36,60392374620,FALSE,FALSE,,FALSE,,,
60392391175,JDAS15008,Amy Wei,pouch bag,11.03,11.03,60392391175,FALSE,FALSE,,FALSE,,,
60392391175,JDAS15008,Amy Wei,PU pouch,,,,FALSE,FALSE,,FALSE,,,
60392391175,JDAS15008,Amy Wei,zipper pouch bags,5.04,5.04,60392391175,FALSE,FALSE,,FALSE,,,
60377939084,JDHB15034-2,Amy Wei,womens handbag leather,,4.11,60443379467,TRUE,FALSE,,FALSE,,,
60377939084,JDHB15034-2,Amy Wei,handbag with strap,1.12,1.12,60377939084,TRUE,FALSE,,FALSE,,,
60377939084,JDHB15034-2,Amy Wei,handbag fashion women,,1.2,60422141528,TRUE,FALSE,,FALSE,,,
60376454362,JDHB15026-1,Amy Wei,taiwan handbag,1.06,1.06,60376454362,TRUE,FALSE,FALSE,TRUE,69,1,35
60376454362,JDHB15026-1,Amy Wei,short handle handbag,1.06,1.06,60376454362,TRUE,FALSE,FALSE,TRUE,124,2,42
60376454362,JDHB15026-1,Amy Wei,manufacturer handbag,,1.25,60376978223,TRUE,FALSE,,FALSE,,,
60370834194,JDYB15040,Amy Wei,top grain leather wallet,1.07,1.07,60370834194,TRUE,FALSE,,TRUE,,,
60370834194,JDYB15040,Amy Wei,european leather wallet for men,1.07,1.07,60370834194,TRUE,FALSE,,FALSE,,,
60387994409,JDYB15027,Amy Wei,crocodile wallet,10.06,1.16,60467340391,TRUE,FALSE,FALSE,FALSE,167,4,150
60387994409,JDYB15027,Amy Wei,crocodile skin wallet,1.11,1.11,60387994409,TRUE,FALSE,FALSE,FALSE,94,2,150
60387994409,JDYB15027,Amy Wei,crocodile leather wallet,11.04,1.17,60467340391,TRUE,FALSE,FALSE,FALSE,153,3,90
